Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image,Interesting
1001 شيء للبحث عنها مدرسة المسرح,1,0.0,0.0,‎سلسلة 1001 شيء للبحث عنها‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/518209.jpg",1
مميز بالاصفر,2,4.4,0.00174,‎روتشيل بنينتجون ‎/‎ اتش جاكسون براون الابن‎,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,, E-Books","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/4/343945.jpg",0
حكايات الخمس دقائق حكايات عن الخيول,1,0.0,0.0,‎سلسلة حكايات الخمس دقائق‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/518210.jpg",1
حكايات الخمس دقائق حكايات عن الارانب,1,0.0,0.0,‎سلسلة حكايات الخمس دقائق‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/518211.jpg",1
حكايات الخمس دقائق حكايات عن الكلاب,0,0.0,0.0,‎سلسلة حكايات الخمس دقائق‎,غلاف مقوى,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/518212.jpg",1
حكايات الخمس دقائق حكايات عن القطط,1,0.0,0.0,‎سلسلة حكايات الخمس دقائق‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/518213.jpg",1
ملكة الثلج فروزن مجموعة قصصية,2,0.0,0.0,‎ديزني‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/2/521414.jpg",1
كن محاربا ولا تكن قلقا,3,5.0,0.00025,‎اليزابيث أرشر‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/2/521719.jpg",1
الحكمة أفكار وأقوال لكل يوم,0,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/2/521728.jpg",1
الهدوء أفكار وأقوال لكل يوم,0,0.0,0.0,‎مكتبة جرير‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/2/521729.jpg",1
