,Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image
28,ßÊíÈ ÇáÇäÔØÉ ÇáÖÎãÉ ááÈäÇÊ ãÚ 1000 äÔÇØ ãÑÍ æ 500 ãáÕŞ,33,5,(8 reviews),ıãßÊÈÉ ÌÑíÑı,Paperback,"Jarir Publications Books,, Audio & Video CD/DVD,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/513663.jpg"
29,ÇáŞåæÉ ÇáÓæÏÇÁ,37,4.5,(8 reviews),ıÃÌÇËÇ ßÑíÓÊíı,Paperback,"Jarir Publications Books,, Fiction & Literature,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/1/411822.jpg"
30,ÇáãäÒá ÇáÇÚæÌ ÌÑíãÉ ŞÊá İí ãäÒá Âá áíæäíÏÒ,37,5,(6 reviews),ıÃÌÇËÇ ßÑíÓÊíı,Paperback,"Jarir Publications Books,, Best Sellers,, Non-Fiction,, New Arrivals,, E-Books,, Fiction & Literature","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/3/8/d/b/38dbe304f85f5bdf364a09f58047c9cc956b6e30_411829.jpg"
31,ËŞ ÈäİÓß ãÌãæÚÉ ãŞæáÇÊ,29,4,(4 reviews),ıåíáíä ÇßÓáíı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/550671.jpg"
32,ÇÚáÇä Úä ÌÑíãÉ,37,4.8,(5 reviews),ıÃÌÇËÇ ßÑíÓÊíı,Paperback,"Jarir Publications Books,, Fiction & Literature,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/e/7/0/2/e702d1da7bbc0a6c08dddf5db9248d135989e877_315080.jpg"
33,áÛÒ ÇáŞØÇÑ ÇáÇÒÑŞ,37,5,(6 reviews),ıÃÌÇËÇ ßÑíÓÊíı,Paperback,"Jarir Publications Books,, Fiction & Literature,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/3/338804.jpg"
34,ŞæÉ ÇáÚÇÏÇÊ áãÇĞÇ äÚãá ãÇ äÚãá İì ÇáÍíÇÉ ÇáÔÎÕíÉ æÇáÚãáíÉ,85,5,(3 reviews),ıÊÔÇÑáÒ ÏæíÌı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/9/397906.jpg"
35,365 ŞÕÉ Úä ÇáÇÎáÇŞ ÚÈÑÉ İí ßá íæã ÊÈÚÏß Úä ÇáãÊÇÚÈ,68,4.7,(3 reviews),ını/ıaı,ÛáÇİ ãŞæì,"Jarir Publications Books,, Audio & Video CD/DVD,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/5/454250.jpg"
36,ÌËÉ İí ÇáãßÊÈÉ,37,4.9,(8 reviews),ıÃÌÇËÇ ßÑíÓÊíı,Paperback,"Jarir Publications Books,, Best Sellers,, Non-Fiction,, E-Books,, Fiction & Literature","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/7/6/8/5/76857c3e1faa01ccb5cc35074a403c039425a570_296946.jpg"
37,İßÑ æÇÒÏÏ ËÑÇÁ ÇßÊÔİ ŞæÊß ÇáÓÍÑíÉ áÊÕÈÍ ËÑíÇ,55,4.2,(5 reviews),ıäÇÈáíæä åíáı,Paperback,"Jarir Publications Books,, Best Sellers,, Self Development,, E-Books","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/1/411059.jpg"
